timestamp,forklift_id,operator,event,zone,pallet_id,ref
2026-06-04T06:38:00Z,FL-1,s.larsen,PALLET_PICK,C,PL-9173,LN-23197
2026-06-04T06:38:00Z,FL-1,s.larsen,PALLET_PICK,D,PL-9886,LN-29228
2026-06-04T06:39:00Z,FL-1,s.larsen,PALLET_PICK,C,PL-4211,LN-26500
2026-06-04T06:39:00Z,FL-1,s.larsen,PALLET_PICK,B,PL-6372,LN-24659
2026-06-04T06:40:00Z,FL-1,s.larsen,PALLET_DROP,F,PL-9173,LN-23197
2026-06-04T06:41:00Z,FL-1,s.larsen,PALLET_DROP,F,PL-9886,LN-29228
2026-06-04T06:42:00Z,FL-1,s.larsen,PALLET_DROP,A,PL-6372,LN-24659
2026-06-04T06:43:00Z,FL-1,s.larsen,PALLET_DROP,A,PL-4211,LN-26500
2026-06-04T06:58:00Z,FL-1,s.larsen,PALLET_PICK,D,PL-9122,LN-25325
2026-06-04T06:59:00Z,FL-1,s.larsen,PALLET_PICK,E,PL-8557,LN-23525
2026-06-04T06:59:00Z,FL-1,s.larsen,PALLET_DROP,F,PL-9122,LN-25325
2026-06-04T07:02:00Z,FL-1,s.larsen,PALLET_DROP,D,PL-8557,LN-23525
2026-06-04T07:16:00Z,FL-1,,DOCK_UNLOAD_START,B,,TRK-585
2026-06-04T07:28:00Z,FL-1,,DOCK_UNLOAD_END,B,,TRK-585
2026-06-04T09:51:00Z,FL-1,s.larsen,PALLET_PICK,E,PL-3272,LN-21231
2026-06-04T09:51:00Z,FL-1,s.larsen,PALLET_PICK,E,PL-5506,LN-22641
2026-06-04T09:52:00Z,FL-1,s.larsen,PALLET_PICK,E,PL-9738,LN-22116
2026-06-04T09:52:00Z,FL-1,s.larsen,PALLET_PICK,D,PL-6955,LN-23580
2026-06-04T09:52:00Z,FL-1,s.larsen,PALLET_DROP,F,PL-3272,LN-21231
2026-06-04T09:55:00Z,FL-1,s.larsen,PALLET_DROP,D,PL-5506,LN-22641
2026-06-04T09:55:00Z,FL-1,s.larsen,PALLET_DROP,B,PL-9738,LN-22116
2026-06-04T09:55:00Z,FL-1,s.larsen,PALLET_DROP,C,PL-6955,LN-23580
2026-06-04T11:12:00Z,FL-1,,DOCK_UNLOAD_START,D,,TRK-694
2026-06-04T11:18:00Z,FL-1,,DOCK_UNLOAD_END,D,,TRK-694
2026-06-04T14:40:00Z,FL-1,,DOCK_UNLOAD_START,D,,TRK-961
2026-06-04T14:50:00Z,FL-1,,DOCK_UNLOAD_END,D,,TRK-961
2026-06-04T14:53:00Z,FL-2,s.tanaka,PALLET_PICK,F,PL-2694,LN-22697
2026-06-04T14:54:00Z,FL-2,s.tanaka,PALLET_PICK,D,PL-2694,LN-22697
2026-06-04T14:54:00Z,FL-2,s.tanaka,PALLET_PICK,D,PL-6025,LN-21837
2026-06-04T14:55:00Z,FL-2,s.tanaka,PALLET_PICK,E,PL-6025,LN-21837
2026-06-04T14:56:00Z,FL-2,s.tanaka,PALLET_DROP,D,PL-2694,LN-22697
2026-06-04T14:56:00Z,FL-2,s.tanaka,PALLET_PICK,C,PL-9461,LN-25891
2026-06-04T14:56:00Z,FL-2,s.tanaka,PALLET_DROP,A,PL-2694,LN-22697
2026-06-04T14:56:00Z,FL-2,s.tanaka,PALLET_PICK,B,PL-5517,LN-20400
2026-06-04T14:57:00Z,FL-2,s.tanaka,PALLET_DROP,E,PL-6025,LN-21837
2026-06-04T14:58:00Z,FL-2,s.tanaka,PALLET_PICK,E,PL-5517,LN-20400
2026-06-04T14:58:00Z,FL-2,s.tanaka,PALLET_DROP,B,PL-6025,LN-21837
2026-06-04T14:58:00Z,FL-2,s.tanaka,PALLET_DROP,E,PL-5517,LN-20400
2026-06-04T14:59:00Z,FL-2,s.tanaka,PALLET_DROP,D,PL-9461,LN-25891
2026-06-04T14:59:00Z,FL-2,s.tanaka,PALLET_DROP,F,PL-5517,LN-20400
2026-06-04T16:07:00Z,FL-2,s.tanaka,PALLET_PICK,D,PL-9173,LN-23197
2026-06-04T16:07:00Z,FL-2,s.tanaka,PALLET_PICK,E,PL-7513,LN-21956
2026-06-04T16:08:00Z,FL-2,s.tanaka,PALLET_PICK,F,PL-2859,LN-20447
2026-06-04T16:09:00Z,FL-2,s.tanaka,PALLET_DROP,D,PL-7513,LN-21956
2026-06-04T16:10:00Z,FL-2,s.tanaka,PALLET_DROP,C,PL-9173,LN-23197
2026-06-04T16:11:00Z,FL-2,s.tanaka,PALLET_DROP,E,PL-2859,LN-20447
2026-06-04T18:21:00Z,FL-2,s.tanaka,PALLET_PICK,A,PL-4211,LN-26500
2026-06-04T18:21:00Z,FL-2,s.tanaka,PALLET_PICK,D,PL-1877,LN-23935
2026-06-04T18:22:00Z,FL-2,s.tanaka,PALLET_PICK,E,PL-1877,LN-23935
2026-06-04T18:22:00Z,FL-2,s.tanaka,PALLET_PICK,B,PL-3006,LN-20705
2026-06-04T18:23:00Z,FL-2,s.tanaka,PALLET_DROP,E,PL-1877,LN-23935
2026-06-04T18:24:00Z,FL-2,s.tanaka,PALLET_DROP,D,PL-4211,LN-26500
2026-06-04T18:24:00Z,FL-2,s.tanaka,PALLET_PICK,D,PL-3006,LN-20705
